address,propertyType,suburb,ok,midpoint,low,high,confidence,dataScore,compCount,elapsedMs,source
"35 Peebles Street, Endeavour Hills, Endeavour Hills, VIC ",House,Endeavour Hills,true,765102,650337,879867,Medium-High,71,12,3894,,existing
"2/46 Richardson Street, Essendon, Essendon, VIC ",Unit,Essendon,true,556804,473283,640325,Low-Medium,46,10,2414,,existing
"3/14 Ella Grove, Chelsea, Chelsea, VIC ",Unit,Chelsea,true,776513,660036,892990,Medium,59,12,3282,,existing
"7 Meyer Crescent, Clyde North, Clyde North, VIC ",House,Clyde North,true,773834,657759,889909,Medium-High,66,12,4855,,existing
"21 Curlew Avenue, Altona, Altona, VIC ",House,Altona,true,882766,750351,1015181,Medium-High,65,12,3678,,existing
"15 Loyola Court, Watsonia, Watsonia, VIC ",House,Watsonia,true,924686,785983,1063389,High,90,12,3694,,existing
"9/12 Leonard Crescent, Ascot Vale, Ascot Vale, VIC 3032",Unit,Ascot Vale,true,424403,360743,488063,Low-Medium,46,4,3482,,existing
"39 Willaroy Boulevard, Donnybrook, Donnybrook, VIC ",House,Donnybrook,true,642418,546055,738781,Medium,59,12,3277,,existing
"18 Franleigh Drive, Narre Warren, Narre Warren, VIC ",House,Narre Warren,true,586571,498585,674557,Medium-High,74,12,4813,,existing
"45 Meadowlark Lane, Mooroolbark, Mooroolbark, VIC ",House,Mooroolbark,true,943871,802290,1085452,Medium-High,76,12,4609,,existing
"123A Abbott Street, Sandringham, Sandringham, VIC ",House,Sandringham,true,1794226,1525092,2063360,Low-Medium,49,5,3890,,existing
"23 St Ives Grove, Mount Martha, Mount Martha, VIC ",House,Mount Martha,true,1004932,854192,1155672,Medium,55,12,3789,,existing
"80 Shady Grove, Forest Hill, Forest Hill, VIC ",House,Forest Hill,true,1008372,857116,1159628,Medium,58,10,4198,,existing
"46 Reverence Drive, Rockbank, Rockbank, VIC ",House,Rockbank,true,534664,454464,614864,High,83,12,4145,,existing
"6/2 Flowers Street, Caulfield South, Caulfield South, VIC ",Unit,Caulfield South,true,470205,399674,540736,Low-Medium,46,4,2103,,existing
"4 Tumut Court, Patterson Lakes, Patterson Lakes, VIC ",House,Patterson Lakes,true,1183298,1005803,1360793,High,79,12,4402,,existing
"2/153 Warrandyte Road, Langwarrin, Langwarrin, VIC ",House,Langwarrin,true,623148,529676,716620,Medium,64,10,2316,,existing
"G14/1 Queen Street, Blackburn, Blackburn, VIC ",House,Blackburn,true,1244624,1057930,1431318,Medium-High,73,10,3809,,existing
"2/23 Dalsten Grove, Mount Eliza, Mount Eliza, VIC ",Unit,Mount Eliza,true,884947,752205,1017689,Medium,64,10,3601,,existing
"21 Greengables Drive, Wyndham Vale, Wyndham Vale, VIC ",House,Wyndham Vale,true,554198,471068,637328,Medium-High,72,12,3646,,existing
"1/136 Booran Road, Glen Huntly, Glen Huntly, VIC ",Unit,Glen Huntly,true,663883,564301,763465,Low-Medium,47,12,3420,,existing
"6/108 Glen Iris Road, Glen Iris, Glen Iris, VIC 3146",Unit,Glen Iris,true,731199,621519,840879,Low-Medium,45,12,4096,,existing
"802/18 Mccombie Street, Elsternwick, Elsternwick, VIC ",Unit,Elsternwick,true,627693,533539,721847,Medium,64,6,2355,,existing
"310/19 Pentridge Boulevard, Coburg, Coburg, VIC ",Unit,Coburg,true,602888,512455,693321,Low-Medium,46,8,2662,,existing
"3/4 The Strand, Chelsea, Chelsea, VIC ",Unit,Chelsea,true,777403,660793,894013,Medium,60,12,2561,,existing
"67 Cinerama Crescent, McCrae, McCrae, VIC ",House,McCrae,true,1061985,902687,1221283,Low-Medium,45,12,3278,,existing
"2/7 Dudley Street, Caulfield East, Caulfield East, VIC ",Unit,Caulfield East,true,283697,241142,326252,Low-Medium,45,11,3070,,existing
"2/1 Inga Street, Oakleigh East, Oakleigh East, VIC ",Unit,Oakleigh East,true,716641,609145,824137,Low-Medium,47,9,2765,,existing
"6/18A Bloomfield Road, Ascot Vale, Ascot Vale, VIC 3032",Unit,Ascot Vale,true,424403,360743,488063,Low-Medium,46,4,2048,,existing
"24 Guardian Street, Mickleham, Mickleham, VIC ",House,Mickleham,true,640532,544452,736612,Medium,59,12,2641,,existing
"53 Hargreaves Crescent, Braybrook, Braybrook, VIC ",House,Braybrook,true,978997,832147,1125847,Medium-High,74,11,4322,,existing
"2/198 Hilton Street, Glenroy, Glenroy, VIC ",Unit,Glenroy,true,609983,518486,701480,Medium-High,65,6,2357,,existing
"65 Welcome Road, Diggers Rest, Diggers Rest, VIC ",House,Diggers Rest,true,601414,511202,691626,High,78,12,4710,,existing
"511/1 Warde Street, Footscray, Footscray, VIC 3011",Unit,Footscray,true,602396,512037,692755,Low-Medium,46,10,2662,,existing
"28 Llewellyn Court, Noble Park, Noble Park, VIC ",House,Noble Park,true,732164,622339,841989,High,91,12,4302,,existing
"32 Hatherley Grove, Altona North, Altona North, VIC ",House,Altona North,true,805084,684321,925847,High,80,9,3995,,existing
"34 Callistemon Avenue, Keysborough, Keysborough, VIC ",Unit,Keysborough,true,818409,695648,941170,Medium-High,66,12,3790,,existing
"8/65 Station Street, Malvern, Malvern, VIC 3144",Unit,Malvern,true,707885,601702,814068,Low-Medium,43,3,3478,,existing
"2/252 Station Street, Edithvale, Edithvale, VIC ",Unit,Edithvale,true,922174,783848,1060500,Medium,59,6,2357,,existing
"14 Mackenzie Court, Croydon South, Croydon South, VIC ",House,Croydon South,true,752208,639377,865039,Medium-High,73,12,5206,,existing
"2/29 Willow Drive, Hampton Park, Hampton Park, VIC ",Unit,Hampton Park,true,573428,536872,609984,Medium,64,3,3471,,existing
"106/801 Whitehorse Rd, Mont Albert, Mont Albert, VIC ",Unit,Mont Albert,true,700299,595254,805344,Medium,60,3,3021,,existing
"1/16 Tarella Road, Chelsea, Chelsea, VIC ",Unit,Chelsea,true,776513,660036,892990,Medium,59,12,2859,,existing
"30/31 Moreland Street, Footscray, Footscray, VIC ",Unit,Footscray,true,602396,512037,692755,Low-Medium,46,10,2457,,existing
"1/5 Tom Roberts Parade, Point Cook, Point Cook, VIC ",Unit,Point Cook,true,462992,433476,492508,Medium-High,66,3,3992,,existing
"1/40 Fenton Street, Huntingdale, Huntingdale, VIC ",Unit,Huntingdale,true,465353,395550,535156,Medium,57,9,2621,,existing
"3/21 William Street, McCrae, McCrae, VIC ",Unit,McCrae,true,652470,554600,750341,Low-Medium,33,1,3554,,existing
